Date,Dividends
2016-03-15,0.282000
2015-12-23,0.609000
2015-09-23,1.130000
2015-03-25,0.027000
2014-12-22,1.569000
2014-03-25,0.024000
2013-12-24,1.274000
2013-03-20,0.019000
2012-12-24,1.154000
2012-03-22,0.008000
2011-12-23,0.966000
2011-03-23,0.015000
2010-12-27,0.876000
2010-03-23,0.010000
2009-12-24,0.697000
2009-03-23,0.033000
2008-12-24,0.911000
2008-03-12,0.018000
2007-12-20,1.008000
2007-03-22,0.017000
2006-12-22,0.973000
2005-12-27,0.753000
2004-12-27,0.641000
